id,osm_id,name,dtype,distance,people_local,people_total
2,-512,Заельцовский парк,direct,18750,683,1021086
5,25692127,Монумент Славы,direct,24500,545,1155198
8,53003964,Тимирязевский сквер,direct,15500,3268,1014080
11,25768883,Сквер НГАВТ,direct,13000,3539,992049
22,-1094,Парк Кирова (Октябрьский р-н),direct,19000,2334,1085345
23,-907,Сухой лог,direct,15750,9564,1007681
12,-790,Пойма 1й Ельцовки,direct,30000,1054,1154657
12,-790,Пойма 1й Ельцовки,direct,14750,6470,1018416
31,-1019,Пойма ручья в Щ,direct,35500,1267,1152417
24,329894924,Сосновый бор,direct,3750,18627,214773
26,25658024,Сквер ГПНТБ,direct,20250,1148,1135365
30,53372014,Сквер авиастроителей,direct,24000,4037,1126310
2,-512,Заельцовский парк,direct,10000,28840,754347
24,329894924,Сосновый бор,direct,28000,28,1135778
10,25768832,Нарымский сквер,direct,14750,2879,1010605
22,-1094,Парк Кирова (Октябрьский р-н),direct,12250,1853,994780
28,290224818,У моря обского,direct,14500,5277,256876
14,25642999,Первомайский сквер,direct,8500,29296,817205
1,25973057,Троицкий сквер,direct,19000,1096,1036599
13,55228146,"Парк ""Горский""",direct,13500,15403,978618
26,25658024,Сквер ГПНТБ,direct,19500,7972,1116291
10,25768832,Нарымский сквер,direct,8000,29629,723332
25,25657738,Берёзовая роща,direct,7500,23598,626783
12,-790,Пойма 1й Ельцовки,direct,3000,35939,243122
17,59547865,сквер Героев Революции,direct,4750,29215,403161
2,-512,Заельцовский парк,direct,2750,8953,12548
7,41848759,Парк им.Покрышкина,direct,1750,25469,104648
24,329894924,Сосновый бор,direct,7250,9167,521738
17,59547865,сквер Героев Революции,direct,11500,5241,977549
28,290224818,У моря обского,direct,22500,11120,853626
17,59547865,сквер Героев Революции,direct,15250,1292,1014402
3,-510,Ботсад (город),direct,20000,1126,1029216
24,329894924,Сосновый бор,direct,8250,12695,565984
12,-790,Пойма 1й Ельцовки,direct,8000,13332,609081
28,290224818,У моря обского,direct,25500,9567,1040199
10,25768832,Нарымский сквер,direct,3000,14510,218367
17,59547865,сквер Героев Революции,direct,1000,9690,23880
2,-512,Заельцовский парк,direct,11750,5172,844566
9,53098200,Сквер им. Чаплыгина,direct,21500,19,1040303
18,25642909,Центральный парк,direct,8000,19422,732677
30,53372014,Сквер авиастроителей,direct,25500,33,1135811
28,290224818,У моря обского,direct,21750,26351,802707
31,-1019,Пойма ручья в Щ,direct,9500,691,130063
8,53003964,Тимирязевский сквер,direct,18000,714,1026990
1,25973057,Троицкий сквер,direct,10750,23559,644598
32,591,Ботанический сад СО РАН,direct,26000,15176,712507
17,59547865,сквер Героев Революции,direct,14250,1915,1003913
19,774,Набережная (вместе),direct,22000,4240,1148040
25,25657738,Берёзовая роща,direct,20250,3497,1051011
30,53372014,Сквер авиастроителей,direct,22500,10331,1065441
9,53098200,Сквер им. Чаплыгина,direct,16750,4017,1018593
19,774,Набережная (вместе),direct,12750,584,996589
18,25642909,Центральный парк,direct,3000,38245,230077
7,41848759,Парк им.Покрышкина,direct,2500,12454,158529
17,59547865,сквер Героев Революции,direct,500,2791,3441
15,-968,Бугринская роща,direct,22250,5185,1148325
24,329894924,Сосновый бор,direct,15000,15391,937091
27,51871600,Павловский сквер,direct,4250,32683,303658
30,53372014,Сквер авиастроителей,direct,14500,12201,952391
23,-907,Сухой лог,direct,9000,14643,597950
20,25768888,Сквер театра Глобус,direct,5250,28085,458988
16,25642995,Сквер Оперного театра,direct,1500,20326,59617
3,-510,Ботсад (город),direct,4500,16653,215821
18,25642909,Центральный парк,direct,14750,984,1013390
27,51871600,Павловский сквер,direct,25250,4479,1103408
31,-1019,Пойма ручья в Щ,direct,31500,287,1126196
28,290224818,У моря обского,direct,24000,14029,961135
31,-1019,Пойма ручья в Щ,direct,17000,6111,306933
31,-1019,Пойма ручья в Щ,direct,19250,35386,487201
8,53003964,Тимирязевский сквер,direct,22750,9504,1064619
25,25657738,Берёзовая роща,direct,19500,4524,1046065
13,55228146,"Парк ""Горский""",direct,250,292,292
26,25658024,Сквер ГПНТБ,direct,7500,20640,737831
17,59547865,сквер Героев Революции,direct,5500,33971,489170
5,25692127,Монумент Славы,direct,19750,3140,1106231
12,-790,Пойма 1й Ельцовки,direct,10000,17227,767574
27,51871600,Павловский сквер,direct,16250,11597,1001727
30,53372014,Сквер авиастроителей,direct,15500,10632,1009952
14,25642999,Первомайский сквер,direct,20000,2587,1083011
26,25658024,Сквер ГПНТБ,direct,18500,4014,1086007
29,53372013,ПКиО им. Ф. Дзержинского,direct,23750,2878,1124396
19,774,Набережная (вместе),direct,7750,39144,784464
5,25692127,Монумент Славы,direct,16500,2545,1039752
17,59547865,сквер Героев Революции,direct,13000,601,996149
30,53372014,Сквер авиастроителей,direct,6500,28091,524138
32,591,Ботанический сад СО РАН,direct,20500,6005,279746
2,-512,Заельцовский парк,direct,30000,2992,1151867
24,329894924,Сосновый бор,direct,27000,3417,1130707
2,-512,Заельцовский парк,direct,14750,16287,971431
8,53003964,Тимирязевский сквер,direct,18250,161,1027151
9,53098200,Сквер им. Чаплыгина,direct,1250,3950,12351
10,25768832,Нарымский сквер,direct,10000,8585,873028
20,25768888,Сквер театра Глобус,direct,9750,23506,895655
2,-512,Заельцовский парк,direct,8000,55750,424687
27,51871600,Павловский сквер,direct,10250,5360,628984
10,25768832,Нарымский сквер,direct,2750,14250,203857
3,-510,Ботсад (город),direct,8500,31218,635517
12,-790,Пойма 1й Ельцовки,direct,11750,18764,890722
10,25768832,Нарымский сквер,direct,11750,12873,920158
22,-1094,Парк Кирова (Октябрьский р-н),direct,8750,11910,821655
12,-790,Пойма 1й Ельцовки,direct,2750,36999,207183
